"Input","Output","Domain"
"""농구경기장 계단에 12:14 현재 4명이 있으며, 운영 기준은 9명입니다.""","농구경기장 계단에서 12:14 현재 기준 9명보다 5명 적은 4명이 감지되었습니다. 여유있는 상황이 지속되고 있어 현재 운영 상태는 양호합니다. 적정 수준의 인원 운영이 지속될 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""저녁 10시 56분 쇼핑몰중앙에서 6명 밀집, 기준 수용인원 8명""","저녁 10시 56분 쇼핑몰중앙에서 기준 8명 범위 내에서 6명이 위치해 있습니다. 적정 수준에서 운영되고 있어 현재 상황은 양호합니다. 시간대별 인원 변화를 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""실내체육관에 10:26 현재 8명이 집계되고 있으며, 기준값은 5명으로 설정되어 있습니다.""","실내체육관에서 10:26 현재 기준 5명보다 3명 많은 8명이 감지되었습니다. 인원 증가가 계속되고 있어 대기 구역 재배치가 필요합니다. 현장 인원 증가 추세가 지속됩니다.","군중 밀집 및 체류 감지"
"""13:13 클리닉에서 71명 밀집, 기준 수용인원 49명""","13:13 클리닉에서 기준 49명을 22명 초과한 71명이 있습니다. 대기 구역 재배치가 필요합니다.","군중 밀집 및 체류 감지"
"""20:32 백화점 47명 파악, 기준 39명""","20:32 백화점에서 기준 39명을 8명 초과한 47명이 대기 중입니다. 상황 변화 추이 관찰이 필요합니다.","군중 밀집 및 체류 감지"
"""오전 11시 10분 극장 80명 계측, 기준 인원 63명""","오전 11시 10분 극장에서 기준 63명을 17명 초과한 80명이 체류하고 있습니다. 안전 관리가 필요한 상황이며 혼잡 구역 분산 유도가 필요합니다. 향후 인원 집중이 예상됩니다.","군중 밀집 및 체류 감지"
"""복합문화센터에 오전 7시 51분 현재 411명이 집계되고 있으며, 기준값은 332명으로 설정되어 있습니다.""","복합문화센터에서 오전 7시 51분 현재 기준 332명을 79명 초과한 411명이 밀집되어 있습니다. 즉시 혼잡 완화 조치가 필요합니다.","군중 밀집 및 체류 감지"
"""8:29 구청 309명 계측, 기준 인원 401명""","8:29 구청에서 기준 401명 범위 내에서 309명이 체류하고 있습니다. 현재 인원 분포는 적정 수준으로 양호합니다. 시간대별 인원 변화를 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""18:42 항만터미널에서 95명 밀집, 기준 수용인원 100명""","18:42 항만터미널에서 기준 100명 범위 내에서 95명이 머물고 있습니다. 현재 인원 분포는 적정 수준으로 양호합니다. 향후에도 원활한 운영이 가능할 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""15:58 클리닉 2층 감지 인원 14명, 기준 미설정""","15:58 클리닉 2층에서 기준 미설정 상태에서 14명이 머물고 있습니다. 현장 상황 변화를 모니터링하겠습니다.","군중 밀집 및 체류 감지"
"08:52 건설현장 1공구 기술자 4명 3분간 엎드린 상태, 기준 1분",08:52에 건설현장 1공구에서 기술자 4명이 3분간 엎드린 자세로 있습니다. 기준 1분을 2분 넘어서 심각한 상황으로 평가됩니다. 긴급 의료 지원이 필요한 상황이므로 즉시 대응해주세요.,쓰러짐 및 장기 정지 감지
"아동 2명 학교 운동장 오후 6시 00분 2분간 엎드린 상태, 허용치 1분",아동 2명이 학교 운동장에서 오후 6시 00분에 2분간 엎드린 자세를 취하고 있습니다. 허용치 1분을 1분 웃돌았기에 응급 상황으로 분류됩니다. 즉시 119에 신고하여 응급처치를 요청해주세요.,쓰러짐 및 장기 정지 감지
"학교 복도 17:39 아동 3명 3분간 쓰러진 상태, 안전 기준 1분",학교 복도에서 17:39에 아동 3명이 3분간 쓰러진 채로 있는 것이 인식되었습니다. 안전 기준 1분을 2분 웃돌아 응급 상황으로 해석됩니다. 즉시 119에 신고하여 응급처치를 요청해주세요.,쓰러짐 및 장기 정지 감지
"주차장 오후 9시 54분 이용자 4명 12분간 주저앉은 자세, 표준치 10분",주차장에서 오후 9시 54분에 이용자 4명이 12분간 주저앉은 상태인 것이 인지되었습니다. 표준치 10분을 2분 상회하여 관찰 필요 상황으로 인식됩니다. 담당팀이 즉시 현장 확인하여 필요 조치를 취해주세요.,쓰러짐 및 장기 정지 감지
"오후 9시 43분 창고 입구 기술자 2명 8분간 움직임 없는 자세, 기준치 3분",오후 9시 43분에 창고 입구에서 기술자 2명이 8분간 움직임 없는 자세로 있습니다. 기준치 3분을 5분 넘어섰기에 위험 상황으로 인식됩니다. 응급상황으로 판단되어 신속한 대응이 요구됩니다. 위급상황이므로 즉시 의료진 출동을 요청하고 현장 대응해주세요.,쓰러짐 및 장기 정지 감지
"10:58에 건설현장 입구에서 작업자 1명이 6분간 누워진 상태입니다, 허용치 2분",10:58에 건설현장 입구에서 작업자 1명이 6분간 누워진 상태가 포착되었습니다. 즉시 응급처치를 실시하고 의료진 출동을 요청해주세요.,쓰러짐 및 장기 정지 감지
"상점 창고에서 오전 7시 49분에 작업자 3명이 13분간 웅크린 상태입니다, 기준치 9분",상점 창고에서 오전 7시 49분에 작업자 3명이 13분간 웅크린 상태인 것이 모니터링되었습니다. 기준치 9분을 4분 초과하여 관찰 필요 상황으로 인식됩니다. 담당팀이 즉시 현장 확인하여 필요 조치를 취해주세요.,쓰러짐 및 장기 정지 감지
"오후 7시 36분에 공장 휴게실에서 작업자 4명이 13분간 멈춰 있는 상태입니다, 허용치 23분",오후 7시 36분에 공장 휴게실에서 작업자 4명이 13분간 멈춰 있는 자세로 있습니다. 허용치 23분보다 10분 적어 허용 범위으로 판단됩니다. 허용 범위 내의 정상적인 활동으로 평가됩니다. 안전한 수준이므로 정기적인 점검을 지속해주세요.,쓰러짐 및 장기 정지 감지
"병원 로비 새벽 2시 44분 간병인 3명 19분간 서 있는 상태, 허용 기준 없음",간병인 3명이 병원 로비에서 새벽 2시 44분에 19분간 서 있는 상태로 있는 것이 파악되었습니다. 상황 파악이 필요한 상태로 인식됩니다. 담당팀에 연락하여 현장 확인을 요청해주시기 바랍니다.,쓰러짐 및 장기 정지 감지
"15:28 건설현장 관리자 4명 7분간 엎드린 상태, 기준치 2분",15:28에 건설현장에서 관리자 4명이 7분간 엎드린 채로 머물고 있습니다. 기준치 2분을 5분 웃돌아 긴급 상황으로 판단됩니다. 생명이 위험할 수 있으므로 즉시 119 신고 후 응급처치를 해주세요.,쓰러짐 및 장기 정지 감지
"허용치 없음, 오전 6시 28분 화염 6초, 건설현장 B동 3층","건설현장 B동 3층에서 오전 6시 28분 화염이 6초간 모니터링되었습니다. 즉시 위험 판단은 어려우나 안전 점검을 실시해 주세요. 현장 관리자는 즉시 상황을 재확인해 주세요. 이후 8초 이상 감지 시 전기 안전 점검을 실시하세요.","연기 및 화염 감지"
"화염·연기 동시 2초, 기준치 1초, 공장 새벽 5시 36분","새벽 5시 36분 공장에서 2초간 화염·연기 동시 생겼습니다. 기준 1초를 1초 초과한 상황입니다. 해당 구역 이용을 일시 중단하고 점검하세요. 추가 7초 이상 감지 시 안전 점검을 요청하십시오.","연기 및 화염 감지"
"화염 4초, 오전 11시 32분 창고 내부 1호, 허용 값 3초","오전 11시 32분 창고 내부 1호에서 4초간 화염이 확인되었습니다. 허용 값 3초를 1초 초과한 상황입니다. 추가 감지되면 소방 안전 점검을 요청하십시오.","연기 및 화염 감지"
"화염·연기 동시가 2초간 있었던 곳은 01:51 찜질방 사우나실입니다. 안전 기준 1초.","01:51 찜질방 사우나실에서 2초간 화염·연기 동시 나타났습니다. 안전 기준 1초를 1초 초과한 상황입니다. 추가 감지되면 소방 안전 점검을 요청하십시오. 추가 6초 이상 감지 시 안전 점검을 요청하십시오.","연기 및 화염 감지"
"저녁 6시 48분 병원 옥상 기계실, 연기 2초간 지속, 정상 기준 1초","연기가 2초간 병원 옥상 기계실에서 발견되었습니다. 정상 기준 1초보다 1초 더 길게 관찰된 만큼, 소방팀이 신속히 현장 점검해 주세요. 즉시 현장 확인하고 안전 대피를 실시하십시오. 추가 6초 이상 감지되면 전체 대피를 검토하세요.","연기 및 화염 감지"
"임계값 6초, 오전 7시 6분 화염·연기 동시 19초, 쇼핑몰 화장품 매장","화염·연기 동시 19초간 쇼핑몰 화장품 매장에서 인지되었습니다. 임계값 6초보다 13초 더 길게 관찰된 만큼, 소방팀이 신속히 현장 점검해 주세요. 즉시 현장 확인하고 안전 대피를 실시하십시오. 추가 24초 이상 감지되면 전체 대피를 검토하세요.","연기 및 화염 감지"
"야외 잔디밭 행사장에서는 화염·연기 동시가 5초 감지됐고 정상 기준 3초입니다. 시각은 오후 6시 25분입니다.","화염·연기 동시 5초간 야외 잔디밭 행사장에서 관찰되었습니다. 정상 기준 3초보다 2초 더 길게 관찰된 만큼, 소방팀이 신속히 현장 점검해 주세요. 즉시 현장 확인하고 안전 대피를 실시하십시오. 추가 11초 이상 감지되면 전체 대피를 검토하세요.","연기 및 화염 감지"
"허용치 없음 구간에서 오전 10시 18분 학교 북관 과학실, 8초 동안 연기·불꽃 동시가 포착되었습니다.","학교 북관 과학실에서 오전 10시 18분 연기·불꽃 동시 8초간 식별되었습니다. 즉시 위험 판단은 어려우나 안전 점검을 실시해 주세요. 현장 관리자는 즉시 상황을 재확인해 주세요. 이후 11초 이상 감지 시 전기 안전 점검을 실시하세요.","연기 및 화염 감지"
"연기·불꽃 동시가 4초간 있었던 곳은 새벽 5시 29분 공장 창고입니다. 허용치 3초.","새벽 5시 29분 공장 창고에서 4초간 연기·불꽃 동시 발생했습니다. 허용치 3초를 1초 초과한 상황입니다. 즉시 현장을 점검하고 안전 확인을 실시하십시오. 현장 관리자는 즉시 상황을 재확인해 주세요. 추가 7초 이상 감지 시 안전 점검을 요청하십시오.","연기 및 화염 감지"
"불꽃 21초, 3시 55분 도심광장, 기준 12초","불꽃이 21초간 도심광장에서 탐지되었습니다. 기준 12초보다 9초 더 길게 관찰된 만큼, 소방팀이 신속히 현장 점검해 주세요. 즉시 소방대 출동을 요청하세요. 현장 관리자는 즉시 상황을 재확인해 주세요. 추가 24초 이상 감지되면 전체 대피를 검토하세요.","연기 및 화염 감지"
"설치원 2명 공장 B구역 11:00 헬멧 벗은 채로 조립, 기준: 안전복","설치원 2명이 공장 B구역에서 11시에 헬멧을 미착용하고 설치를 했습니다. 헬멧 기준 위반으로 머리 부상 위험이 높으니 즉시 작업 책임자는 확인하세요.","작업자 안전장비 미착용 감지"
"기준: 헬멧, 마스크, 안전복, 14:45 공장 품질실 근로자 2명 안전화 미착용 청소","14시에 공장 품질실에서 근로자 2명이 안전화를 미착용하고 청소를 했습니다. 헬멧, 안전화, 마스크, 안전복 기준 중 안전화 규정을 위반하여 추락 시 발 부상 위험이 높으니 즉시 작업 책임자는 확인하세요.","작업자 안전장비 미착용 감지"
"조립공 2명이 헬멧을 벗은 채로 조립을 했습니다, 화학공장 21:00, 기준: 안전복","조립공 2명이 화학공장에서 21시에 헬멧을 미착용하고 조립을 했습니다. 즉시 현장 안전 점검이 필요합니다.","작업자 안전장비 미착용 감지"
"배관공 2명이 16:00에 안전화를 미착용 설치를 했습니다, 공장, 규정 미설정","배관공 2명이 16시에 공장에서 안전화를 미착용하고 배관 작업을 했습니다. 오후 교대 시간 안전점검 강화가 필요합니다. 현장 관리자에게 알려주세요.","작업자 안전장비 미착용 감지"
"21:15 화학 작업자 2명 공장 설비실 장갑 착용 없이 정비, 기준: 안전화, 보안경, 장갑","21시에 작업자 2명이 공장 설비실에서 장갑을 미착용하고 정비를 했습니다. 즉시 보호구 착용을 지시해 주세요.","작업자 안전장비 미착용 감지"
"시공자 1명 작업장 20:45 안전화 장비 없이 건설, 기준: 보안경, 장갑, 안전복","시공자 1명이 작업장에서 20시에 안전화를 미착용하고 건설 작업을 했습니다. 장갑, 보안경, 안전복 기준 중 안전화 규정을 위반하여 발 부상 위험이 높으니 현장 안전 점검이 필요합니다. 즉시 안전장비 착용을 지도하시기 바랍니다.","작업자 안전장비 미착용 감지"
"11:15 현장 작업자 2명이 헬멧 착용 위반 건설 작업을 했습니다, 발전소 제어실, 기준: 안전복","11시에 작업자 2명이 발전소 제어실에서 헬멧을 미착용하고 건설 작업을 했습니다. 즉시 보호구 착용을 지시해 주세요.","작업자 안전장비 미착용 감지"
"기준: 장갑, 정비소 A구역 엔지니어 2명 20:15 마스크 장비 없이 검사","정비소 A구역에서 엔지니어 2명이 20시에 마스크를 미착용하고 검사를 했습니다. 저녁 작업 시 조명 확인과 함께 보호구 점검이 필요합니다. 안전장비 지급을 확인하세요.","작업자 안전장비 미착용 감지"
"기준: 헬멧, 마스크, 안전복, 제조공장 설비동 건설 기사 2명 17:15 장갑 벗은 채로 검사","제조공장 설비동에서 건설 기사 2명이 17시에 장갑을 미착용하고 검사를 했습니다. 헬멧, 장갑, 마스크, 안전복 기준 중 장갑 규정을 위반하여 화학물질 접촉 위험이 높으니 즉시 작업 책임자는 확인하세요.","작업자 안전장비 미착용 감지"
"11:45 엔지니어 1명 공장 품질실 장갑 장비 없이 점검, 기준 없음","11시에 엔지니어 1명이 공장 품질실에서 장갑을 미착용하고 점검을 했습니다. 오후 교대 시간 안전점검 강화가 필요합니다. 안전장비 지급을 확인하세요.","작업자 안전장비 미착용 감지"
"21:39 공장 신원미상자 3명 42초간 출입, 허용 기준 27초","21:39 공장에서 신원미상자 3명이 42초간 머물러 있는 상황입니다. 허용 기준 27초를 15초나 넘어서 위험 상태로 판단됩니다. 보안 시스템 점검과 감시 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"학교 05:28 행인 3명 28초간 체류, 표준 24초","학교에서 행인 3명이 05:28 28초간 머물렀습니다. 표준 24초를 4초 초과하여 내일 오전에 유사한 상황이 발생할 수 있습니다. 내일 같은 시간대 해당 구역 집중 감시가 필요합니다.","폐쇄시간 무단 출입 감지"
"상점 오후 10시 18분 신원미상자 4명 50초간 출입, 평상시 39초","상점에서 신원미상자 4명이 오후 10시 18분 50초간 출입을 시도하고 있습니다. 평상시 39초를 11초나 넘어서 경고 상태로 분류됩니다. 강화된 대응이 필요한 상황입니다. 경비원이 현장 확인을 실시해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"무단침입자 2명 오전 1시 02분 오피스텔 31초간 출입, 기준값 23초","무단침입자 2명이 오전 1시 02분 오피스텔에서 31초간 머물렀습니다. 기준값 23초를 8초 초과하여 경고가 발령되었습니다. 담당팀의 현장 출동이 필요합니다.","폐쇄시간 무단 출입 감지"
"신원미상자 4명 오전 3시 53분 호텔 엘리베이터 63초간 체류, 표준 60초","신원미상자 4명이 오전 3시 53분 호텔에서 63초간 출입했습니다. 표준 60초보다 3초 더 머물러 약간의 주의가 필요한 상태로 판단됩니다. 해당 구역을 기본적으로 점검해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"오후 10시 11분 오피스텔 의심 인물 3명 38초간 체류, 표준 26초","오후 10시 11분 오피스텔에서 의심 인물 3명이 38초간 머물러 있는 것이 감지되었습니다. 표준 26초를 12초나 넘어서 위험 상태로 판단됩니다. 출입 통제를 강화해주세요.","폐쇄시간 무단 출입 감지"
"의심 인물 1명이 01:49 치과에서 24초간 출입하고 있습니다, 허용 기준 19초","의심 인물 1명이 01:49 치과에서 24초간 머물렀습니다. 허용 기준 19초보다 5초 더 머물러 주의가 필요한 상태로 확인되었습니다. 기본적인 대응이 필요한 상황입니다. 해당 구역을 점검해주세요.","폐쇄시간 무단 출입 감지"
"병원에서 외부인 1명이 오전 6시 55분 52초간 체류하고 있습니다, 기준값 44초","병원에서 외부인 1명이 오전 6시 55분 52초간 활동하는 것이 확인되었습니다. 기준값 44초를 8초 초과하여 경고 상태로 분류됩니다. 강화된 보안 조치가 필요한 상황입니다. 즉시 현장 점검을 실시해주세요.","폐쇄시간 무단 출입 감지"
"03:33 창고 입구 신원미상자 5명 19초간 출입, 일반 기준 14초","03:33 창고에서 신원미상자 5명이 19초간 체류했습니다. 일반 기준 14초보다 5초 더 머물러 주의가 필요한 것으로 판단됩니다. 현장 담당자에게 연락해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"외부인 2명 오후 11시 06분 창고 A동 57초간 출입, 표준 43초","외부인 2명이 오후 11시 06분 창고에서 57초간 접근해 온 것으로 나타났습니다. 표준 43초를 14초나 넘어서 경계 상태로 확인되었습니다. 보안 시스템 점검과 감시 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"물류센터 10:13 건설기사 2명 안전장비 완전착용 작업, 허용 기준","물류센터에서 10:13에 건설기사 2명의 안전장비 정상착용이 식별되었습니다. 작업장 안전이 적절히 관리되고 있습니다. 현장 책임자에게 보고하여 안전 규정 준수를 지속해주세요.","안전장비 미착용 감지"
